well	radius	gfp	pi	viability	thresh	norm	date
155.0	37.76002909331417	5175.5806	3481.8704	0.2073242613025088	0.10100595074085869	0.4721834626235767	D1
156.0	34.15648424482901	4368.9517	1514.9731	0.47734713545309126	0.06829862071208068	0.4780904252871977	D1
157.0	35.985621993261724	3564.4993	1374.7499	0.46105616691269313	0.057759188280328	0.3717964429774543	D1
158.0	37.900450991433225	5891.2944	2667.5854	0.38023892236708523	0.0986817888312797	0.6266874536288655	D1
159.0	40.5440684274943	7452.273	4038.5215	0.3305317226605715	0.12203105079449343	0.6477172285944939	D1
160.0	35.52107777495634	5253.299	1775.8228	0.32276679468388647	0.06418967511682062	0.34705519866558976	D1
160.0	0.0	31.790531	38.4611	0.3823509319129238	0.06418967511682062	0.34705519866558976	D1
161.0	35.82268435782725	3501.1301	1171.6332	0.3836730778265319	0.04947503898848296	0.2896817996851179	D1
162.0	35.728705801566456	4179.7334	499.54123	0.26108503829436525	0.023891452177065304	0.08237300142064719	D1
163.0	35.8208072029876	5775.4883	2600.6929	0.3265859545364621	0.09499732754247725	0.5853266756696343	D1
164.0	39.83465139350884	9777.673	4485.2896	0.19434201569515852	0.11400980913488437	0.45958863148287443	D1
165.0	34.76141615800735	4219.1973	940.49023	0.3925547660936213	0.04327603816110605	0.2582999260429717	D1
166.0	35.73058779507834	5012.2	1470.4191	0.5183745452303793	0.06680392189805157	0.47818322939815755	D1
166.0	0.0	50.74703	41.178043	0.4259538132431454	0.06680392189805157	0.47818322939815755	D1
167.0	40.482656846575324	9016.547	4510.8706	0.23450228318846733	0.11517066705924112	0.46703395577715634	D1
168.0	32.29872033163912	3702.4229	997.90515	0.6614785531379723	0.06014120504383771	0.593454169588541	D1
169.0	37.230987747959354	3954.9385	2375.4602	0.39670917248907145	0.0898761239550313	0.5823706943738811	D1
170.0	36.36112137267328	6554.0195	2637.2502	0.46486304638875875	0.10375674262987455	0.7378787983312243	D1
171.0	36.2110174863722	5961.835	2185.398	0.4839602751506257	0.08723839386672275	0.6096151368141722	D1
172.0	37.54751618716379	6320.603	1939.5399	0.3480476217774481	0.06998086781888044	0.3962005149935534	D1
173.0	37.39857804638535	6169.069	2485.8267	0.334862653257298	0.08176503060115199	0.4390805990304029	D1
174.0	36.24628284403372	4456.361	1323.135	0.33313453592519304	0.05041658139450776	0.26837112040888	D1
175.0	34.93507960105878	5262.726	1373.4822	0.333042148893554	0.05421324972153308	0.2990950902317247	D1
176.0	38.37649522325413	5178.0576	2837.7075	0.2726783155865137	0.0921450176029467	0.4973045065121795	D1
177.0	34.94855058826763	4545.2427	2143.0073	0.3167783951912878	0.07983737059229679	0.4796741298215054	D1
178.0	36.63563225315298	4976.69	1031.3013	0.5155226346496469	0.04942047007486176	0.3455138423284687	D1
179.0	37.328389849308834	6755.6777	3856.6997	0.17097281519246776	0.09633667651925835	0.35491799760236153	D1
180.0	0.0	37.196526	89.33841	0.29422893472972445	0.04900970339231723	0.27180332846432603	D1
180.0	35.11171445555282	3595.4753	1139.6836	0.374347455592697	0.04900970339231723	0.27180332846432603	D1
181.0	39.110649862978484	5214.3604	1862.5287	0.5724185998731512	0.07920697775913248	0.581985672836842	D1
182.0	33.586722896753734	4316.084	2389.6748	0.4134961887554287	0.09812990953150211	0.6838899296855343	D1
183.0	38.82419695031693	6038.6216	6010.4834	0.25320791575535895	0.17045639540386492	0.8361647131447365	D1
